"restaurant name",city,cuisines,"aggregate rating",cost
"The Cavalry Bar - Maidens Hotel","New Delhi","Finger Food",2.7,26.000
"The Curzon Room - Maidens Hotel","New Delhi","European, North Indian",3.4,41.600
"The Garden Terrace - Maidens Hotel","New Delhi","North Indian, Continental",3.3,39.000
"Ama Rabsel House","New Delhi","Chinese, North Indian",3,6.500
"Cafe Plus","New Delhi",Cafe,3.2,6.500
Hornbill,"New Delhi","Naga, Chinese",3.1,5.850
"Orange Cafe & Restaurant","New Delhi","Tibetan, Chinese",3.1,5.850
"ABC Restaurant","New Delhi","North Indian, Chinese",0,3.900
"Achi Restaurant","New Delhi",Chinese,0,5.200
"Asian House Restaurant","New Delhi","Tibetan, South Indian, North Indian",0,5.200
"Cafe 59","New Delhi","Cafe, North Eastern",0,7.800
"Drepung Loselling","New Delhi","Tibetan, Chinese",0,5.200
"Dus Bab","New Delhi",Tibetan,0,6.500
"DZI House","New Delhi","North Indian, Chinese, Tibetan",0,7.150
"Good Luck Cafe","New Delhi","Ice Cream",0,3.250
Kathmandu,"New Delhi",Chinese,0,3.900
"Kullu Manali Restaurant","New Delhi","Tibetan, Chinese, North Indian",0,5.200
"Lhamo's Kitchen","New Delhi",Nepalese,0,3.900
"Lhasa Manthang Restaurant","New Delhi","Tibetan, Chinese",0,3.900
"Lhasa Thali House","New Delhi",Nepalese,0,3.900
"Little Tibet","New Delhi","Cafe, Tibetan",0,3.900
"Lotus House Restaurant","New Delhi","Tibetan, Chinese",0,7.800
"Mahi Rasoi","New Delhi","North Indian, South Indian, Fast Food",0,5.200
"New Open Restaurant","New Delhi","Nepalese, Tibetan",0,3.900
"Rooftop Restaurant","New Delhi",Chinese,0,5.850
"Somang House Restaurant","New Delhi","Asian, Chinese",0,6.500
"Tandoori Khazana","New Delhi","North Indian, Fast Food",0,4.550
"Tsopema Restaurant","New Delhi","Tibetan, Chinese, North Indian",0,7.800
"33 Food","New Delhi","North Indian, Mughlai",3.2,9.100
"Burger Point","New Delhi","Burger, Fast Food",3.3,5.200
"Cafe Blur","New Delhi","Cafe, Chinese",3.1,5.850
"Cafe Coffee Day","New Delhi",Cafe,2.5,5.850
"Cafe Rendezvous","New Delhi","Mexican, Italian, North Indian, Continental, Asian",3.3,20.150
"Cakes & Bakes","New Delhi","Bakery, Desserts",3.4,6.500
"Chatorey Chacha","New Delhi","Street Food, North Indian",3.3,4.550
"Chilli Dragon","New Delhi","Chinese, Thai",3.3,8.450
"DCK- Dana Choga's Kitchen","New Delhi","North Indian, Mughlai",3.4,10.400
"Divya's Rimpy Restaurant","New Delhi","North Indian, Chinese, Mughlai",3.2,10.400
"Express Dhaba","New Delhi","North Indian, Chinese, Mughlai",2.7,8.450
"Go Foodie","New Delhi","North Indian, Chinese",3.3,6.500
"Health Pan","New Delhi","Healthy Food",3.4,2.600
Karim's,"New Delhi","Mughlai, North Indian",3,10.400
Karuna,"New Delhi","South Indian",3,2.600
Kathi,"New Delhi","North Indian, Fast Food, Chinese",2.8,5.200
"King Chilly Kitchen","New Delhi","Chinese, Tibetan",3.2,5.200
"Kolhapuri Veg Non-Veg Foods","New Delhi",Maharashtrian,3.3,3.900
"Mehfil Dhaba","New Delhi","Fast Food, North Indian",3.4,3.900
"Moti Mahal Delux - Legendary Culinary","New Delhi","North Indian, Chinese",2.6,7.800
"Open Oven","New Delhi","Bakery, Desserts, Fast Food",3.4,3.250
"Paapi Paet","New Delhi","Fast Food, Beverages",3.3,7.150
"Pepper Corn Express","New Delhi","North Indian, Chinese, Fast Food",3.4,10.400
"Pinch Of China","New Delhi",Chinese,3.2,5.200
"Pizza Hut Delivery","New Delhi","Italian, Pizza, Fast Food",2.8,10.400
"Punjabee's Darbar","New Delhi","North Indian, Chinese",3,9.100
Ramjee's,"New Delhi","Street Food, North Indian",3.3,1.950
Rollmaal,"New Delhi","Fast Food, North Indian, Chinese",3.4,6.500
Shaolin,"New Delhi",Chinese,3.4,10.400
Subway,"New Delhi","American, Fast Food, Salad, Healthy Food",2.8,6.500
"The Chocolate Room","New Delhi","Cafe, Italian, Mexican, Salad, Desserts",3.4,11.050
"The Delhi Heights","New Delhi","North Indian, Mughlai, Chinese",2.8,10.400
"Thok (The House of Kakori)","New Delhi","North Indian, Mughlai, Chinese",3.4,7.800
Uloo,"New Delhi","North Indian, Mughlai, Chinese",3.2,7.800
"Vadapav Junction & More","New Delhi","Street Food, Fast Food",3.3,4.550
"Behrouz Biryani","New Delhi",Biryani,3.6,7.800
"Beliram Degchiwala","New Delhi","North Indian, Mughlai, Chinese",3.5,11.700
Bhukkhar,"New Delhi","North Indian, Chinese, Mughlai",3.9,6.500
"Biryani Blues","New Delhi","Biryani, Hyderabadi",3.9,13.000
"Bun Intended","New Delhi","Burger, American, Fast Food",3.9,11.050
"Casa Asia","New Delhi",Chinese,3.8,8.450
"Chic Fish","New Delhi","North Indian, Chinese",3.5,9.750
"Dunkin' Donuts","New Delhi","Burger, Desserts, Fast Food",3.6,7.800
Farratta,"New Delhi","North Indian, Chinese",3.7,10.400
"Flavors of Chennai","New Delhi","South Indian",3.7,5.200
"Food For Thought","New Delhi","North Indian, Italian",3.8,9.100
FreshMenu,"New Delhi","Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",3.7,7.800
Giani's,"New Delhi","Ice Cream, Desserts",3.7,5.200
Gopala,"New Delhi","Mithai, Street Food",3.8,3.250
"Green Chick Chop","New Delhi","Raw Meats, North Indian, Fast Food",3.5,4.550
"Hunger Must Die","New Delhi","Italian, North Indian, Chinese, Mughlai",3.7,6.500
"Kolkata Kathi Roll","New Delhi","Fast Food",3.6,1.950
"Max Grille and Kitchen","New Delhi","North Indian, Mughlai, Chinese",3.5,11.050
"Moti Sweets","New Delhi","Mithai, Street Food",3.6,1.300
"Nazeer Foods","New Delhi","North Indian, Mughlai, Chinese",3.6,8.450
Nikashee,"New Delhi","Chinese, Thai",3.7,7.800
"Noodle Box","New Delhi","Chinese, Thai",3.5,9.100
Pema's,"New Delhi","Chinese, Tibetan, Japanese",3.6,9.100
"Plumber - The Lounge","New Delhi","Thai, Chinese, North Indian",3.9,19.500
"Pudding & Pie","New Delhi","Bakery, Fast Food",3.7,5.850
"RP's Restaurant","New Delhi","Mughlai, North Indian, Chinese",3.5,9.100
"Soi Thai","New Delhi","Thai, Japanese",3.6,19.500
"Speedy Chow","New Delhi","Chinese, Thai",3.6,11.050
"Stoned Age Kitchen","New Delhi",Continental,3.9,5.200
Suribachi,"New Delhi","Asian, North Indian, Continental",3.5,19.500
Swagath,"New Delhi","North Indian, Chinese, Seafood, Chettinad",3.5,19.500
"The Delhi Canteen","New Delhi","North Indian, Continental, Asian, Chinese, Thai",3.6,13.000
"The Grill Kitchen","New Delhi","North Indian, Mughlai",3.8,8.450
"The Midnight Heroes","New Delhi","North Indian, Biryani, Chinese, Fast Food",3.7,12.350
"The Salad Bowl","New Delhi","Healthy Food, Salad",3.5,10.400
"Domino's Pizza","New Delhi","Pizza, Fast Food",2.3,9.100
"Food Army","New Delhi","North Indian, Mughlai, Chinese",2.3,5.850
"Moti Restaurant","New Delhi","North Indian, South Indian, Chinese, Mughlai",2.4,7.150
"New Baba Da Dhaba","New Delhi","North Indian, Mughlai, Chinese",2,5.200
"Tunday Kababi","New Delhi","Lucknowi, Mughlai",2.2,7.800
"Dilli BC","New Delhi","North Indian, Mughlai",4.4,9.100
Litti.In,"New Delhi",Bihari,4,3.900
"Nizam's Kathi Kabab","New Delhi","North Indian, Fast Food",4,11.700
"Pepper Kitchen","New Delhi","Cafe, American, Italian",4,6.500
"Rustom's Cafe & Bakery","New Delhi","Cafe, Bakery, Parsi",4.1,9.100
"Salad Days","New Delhi","Healthy Food, Salad",4,10.400
"Stop My Starvation","New Delhi","Cafe, Desserts",4.3,3.900
"Sushi Junction","New Delhi","Sushi, Japanese, Healthy Food",4,13.000
"Vero Gusto","New Delhi","Cafe, Fast Food, Healthy Food",4.1,3.250
"Snack Junction","New Delhi",Chinese,3.2,3.900
Turant,"New Delhi",Chinese,3.3,3.900
"Snacks Point","New Delhi","Fast Food",0,1.300
"The Sweet Spot","New Delhi",Bakery,0,7.800
"Kafe @ Museum","New Delhi","North Indian, Continental",0,3.900
"Friends Cafe","New Delhi","North Indian",0,6.500
"Aromas of Pind","New Delhi","North Indian, Chinese",4.2,15.600
"Apna Dhaba and Caters","New Delhi","North Indian",3.2,3.900
"Green Chick Chop","New Delhi","Raw Meats, North Indian, Fast Food",2.7,4.550
"Jai Shree Durga South Indian Corner","New Delhi","South Indian, Chinese",3,4.550
"Malabar Catering House","New Delhi","Biryani, Kerala",3.2,5.200
"Meenakshi Bhawan","New Delhi","South Indian, Chinese",3.1,3.900
"New Raja Sweets","New Delhi","Mithai, Street Food",2.9,1.950
"Pizza Treat","New Delhi","Pizza, Fast Food",3,3.250
"Pudding & Pie","New Delhi","Bakery, Fast Food",3.1,5.850
"Rita Chinese Food","New Delhi",Chinese,3.1,4.550
"Vibes of Punjab","New Delhi","North Indian, Mughlai, Chinese",3.2,9.100
"Ramji Di Hatti & Caterers","New Delhi","North Indian",3.5,4.550
"Spicy Tadka","New Delhi","North Indian, Chinese",3.5,7.800
"Mr. Tandoori Lal","New Delhi","Chinese, North Indian",0,3.900
"Om Sweets & Caterers","New Delhi","North Indian",0,2.600
"Sardar Ji Take Away & Caterers","New Delhi","North Indian, Chinese",0,5.850
"9 is Mine","New Delhi","Fast Food",2.6,3.900
Aashirwad,"New Delhi","Chinese, North Indian",3.2,5.850
"Aggarwal Sweet & Bakers","New Delhi","Mithai, Street Food",2.9,1.950
"Amit Hotel","New Delhi","North Indian",2.9,1.950
"Angrezee Dhaba","New Delhi","North Indian, Mughlai, Chinese",2.8,4.550
"Ankur Family Restaurant","New Delhi","North Indian",2.9,3.900
"Bansal Sweet","New Delhi","Desserts, Street Food",2.7,1.950
"Baskin Robbins","New Delhi","Ice Cream",3.1,3.900
"Caravan Resto Bar","New Delhi","North Indian, Chinese, Mughlai",3.2,14.300
"Celebration Multi Cuisine Restaurant","New Delhi","North Indian, Chinese",2.7,6.500
"Chatto Chapati","New Delhi","North Indian",3,3.250
Chawla's?,"New Delhi","North Indian, Mughlai",2.7,9.750
"China Town","New Delhi",Chinese,2.7,3.900
"China Town","New Delhi",Chinese,2.7,4.550
"Dazzle Pastry Shop","New Delhi","Bakery, Fast Food",2.6,1.950
"Delicacy Foods","New Delhi","North Indian, Mughlai, Chinese",3.2,8.450
"Dolphin Rolls","New Delhi","Fast Food, Chinese",2.9,2.600
"Durbar Restaurant","New Delhi","North Indian, Chinese",2.7,6.500
"Ever Green Pastry Shop","New Delhi",Bakery,3.1,2.600
"Evergreen Sweets Corner","New Delhi","Mithai, Street Food",3,1.300
"Great Plates By AJ","New Delhi","North Indian, Chinese, Mughlai",3.1,11.700
"Green Chick Chop","New Delhi","Raw Meats, North Indian, Fast Food",3.2,4.550
Haqeem's,"New Delhi","North Indian",2.7,3.250
"Himalaya Food Corner","New Delhi","North Indian, Mughlai, Chinese",2.7,6.500
"Hot Joint Fast Food","New Delhi","Chinese, Fast Food",2.6,4.550
"Hyderabadi Dum Biryani","New Delhi","Biryani, Hyderabadi",2.7,8.450
"Kasturi Family Restaurant","New Delhi","North Indian, Chinese",3,5.200
"Kerala Cafe","New Delhi",Kerala,3.3,3.900
"Keuchen Paradise","New Delhi",Bakery,2.8,3.900
"Kook For Health","New Delhi","American, Asian, North Indian, Mexican, South Indian",3.3,6.500
"Lahorian's Sweets & Bakers","New Delhi","Street Food, Desserts",2.9,3.250
"Mr. Baker's","New Delhi","Bakery, Fast Food",3,1.300
"Night Food Delivery","New Delhi","North Indian, Chinese",2.7,6.500
"Nine 2 Nine Snacks & Restaurant","New Delhi","North Indian, Street Food",2.9,3.250
"Punjabi Mirch","New Delhi","North Indian",3,5.200
"Rasoi The Food Express","New Delhi","North Indian, Chinese",2.6,7.800
"Republic of Chicken","New Delhi","Raw Meats, Fast Food",2.8,5.200
Sandwichai,"New Delhi","Fast Food",3.3,4.550
"SB's Raisins","New Delhi","Bakery, Desserts, Fast Food",2.8,4.550
"Shanghai Kitchen","New Delhi","Chinese, Fast Food",3.1,3.900
"Shiv Shakti Restaurant","New Delhi","South Indian, Chinese",3,2.600
"Smoky Chettinad","New Delhi","South Indian, Chettinad",2.8,7.800
"Spice Fusion","New Delhi","North Indian, Mughlai",3.1,5.200
"Sweet Toof Designer Cakes","New Delhi","Bakery, Desserts",3.1,3.250
"The Chef","New Delhi","North Indian, Chinese",3.2,7.800
"The Edge Cafe","New Delhi","Fast Food, Chinese",3.1,5.200
"The Epicure - Fraser Suites","New Delhi","Asian, Thai, Chinese, North Indian",3.1,26.000
"Udupidarshini Veg Restaurant","New Delhi","Chinese, North Indian, South Indian",3.4,7.150
"36 lebzelter","New Delhi","Bakery, Desserts",3.7,1.950
"Baked Buns","New Delhi","Fast Food, Pizza, Burger",3.6,6.500
"Freakin Beans","New Delhi",Cafe,3.7,3.250
"Nutri Cafe","New Delhi","Fast Food",3.7,6.500
Senorita's,"New Delhi","Mexican, North Indian",3.7,7.150
"Village - The House of Food","New Delhi","Street Food, Fast Food, Chinese, South Indian, North Indian",3.7,3.900
"Aman Vaishno Dhaba","New Delhi","North Indian",0,1.950
"Anupam Hotel","New Delhi","North Indian",0,2.600
"Bake Bank","New Delhi","Bakery, Desserts",0,3.900
Buzybee,"New Delhi","Bakery, Desserts",0,3.900
"Cafe Tandoor","New Delhi","Fast Food",0,3.250
"Chawlas 2","New Delhi","North Indian, Mughlai",0,6.500
"Choksi Chinese","New Delhi",Chinese,0,2.600
"Desi Chulha","New Delhi","North Indian, Chinese",0,5.200
"Fumble Foods","New Delhi","North Indian, Fast Food",0,1.950
"Games v/s Cafe","New Delhi","Cafe, Beverages",0,2.600
"Goodies- Snacks N More","New Delhi","Fast Food, Chinese",0,5.200
"Grubhouse Cafe","New Delhi","Fast Food",0,3.900
"Mr. Baker's","New Delhi",Bakery,0,3.250
"Muradabadi Chicken Biryani & Dhaba","New Delhi","North Indian",0,5.850
"Pakiza Restaurant","New Delhi","North Indian, Mughlai",0,7.800
"Riddhi Siddhi Restaurant","New Delhi","North Indian, Fast Food",0,2.600
"Rockers & Shockers","New Delhi","North Indian, Mughlai, Chinese",0,7.150
"Saikutir Food","New Delhi","North Indian, South Indian, Chinese",0,2.600
"Satnaam Foods","New Delhi","North Indian",0,3.900
Senorita's,"New Delhi",Mexican,0,3.900
"Shri Bala Ji Rasoi","New Delhi","North Indian",0,2.600
"South Indian","New Delhi","South Indian",0,1.950
"Tip Top Eating Corner","New Delhi","North Indian",0,1.300
ToLoveFromLove,"New Delhi","Bakery, Desserts",0,3.900
"Tripti Foods","New Delhi","South Indian",0,2.600
"U Like","New Delhi",Bakery,0,1.950
"Zayka chicken restaurant","New Delhi","North Indian, Biryani",0,3.900
"Cafe Coffee Day","New Delhi",Cafe,2.4,5.850
"Food Fantasy","New Delhi","North Indian, Chinese, Fast Food",2.4,6.500
"Just Chinese","New Delhi",Chinese,2.4,3.900
"Agarwal Bikaneri Sweets","New Delhi","Mithai, Street Food",3.1,1.300
"Bikaner Sweets","New Delhi",Mithai,2.8,1.300
Breadz,"New Delhi","Bakery, Fast Food",3.3,3.900
"Desi Jugaad","New Delhi","North Indian, Chinese",3.2,4.550
"Food Trax","New Delhi",Chinese,2.9,3.900
"Hub Tub","New Delhi","Chinese, Fast Food",3,3.900
"Malabar Foods","New Delhi","North Indian, Fast Food",2.7,6.500
"Mitra Di Chaap","New Delhi","Street Food, Fast Food",3,3.900
"New Hyderabadi Biryani House","New Delhi","North Indian, Biryani",2.5,6.500
"New Madras Cafe","New Delhi","South Indian",2.8,3.250
"Roll Club","New Delhi","Fast Food",3.2,3.250
"Sanju Cool & Hot Hut","New Delhi","North Indian, Street Food",2.8,3.250
"Sethi's Kabab & Curries","New Delhi","North Indian",3.1,6.500
"South Indian Fast Food","New Delhi","South Indian",3.3,3.900
"Sweets and Spices","New Delhi","North Indian, Chinese, South Indian, Fast Food",2.8,5.200
"Urban Degchi Kitchen & Bar","New Delhi","North Indian, Chinese",2.6,13.000
"Wah Ji Wah","New Delhi","North Indian, Fast Food",3.1,5.200
"Zaiqa Kathi Roll & Momos","New Delhi","Street Food",3.3,1.950
"Duggal Snacks","New Delhi","Street Food",3.6,0.650
"Granny's Flavour","New Delhi","Street Food",3.5,1.950
"Moustache Coffee","New Delhi",Cafe,3.7,5.200
"Pradeep Pav Bhaji","New Delhi","Street Food",3.8,2.600
"Sandwich Factory","New Delhi",Cafe,3.9,6.500
"Scorpio Cafe","New Delhi","Chinese, Fast Food",3.7,5.200
Veggie-Licious,"New Delhi","North Indian, Chinese, Continental, Fast Food",3.6,5.850
"Creamy Creation","New Delhi",Bakery,0,3.900
"Evergreen Food Corner","New Delhi","Fast Food, Raw Meats",0,4.550
"K.D Corner","New Delhi","North Indian",0,3.900
"Slice Of Italy","New Delhi","Italian, Pizza, Bakery",2.2,9.100
"Anokha Chinese Hut","New Delhi","North Indian, Chinese",2.6,9.100
"Bobby Dhaba & Caterers","New Delhi","North Indian, Mughlai",3.1,5.850
"Clever Fox Cafe","New Delhi","North Indian, Continental, Chinese",3,11.700
"Dana Pani","New Delhi","North Indian, Chinese",2.8,3.900
"Hotel Malabar","New Delhi",Kerala,3,3.900
"Lumbini Fast Point","New Delhi","Chinese, Fast Food",3,5.200
"Mayur Restaurant","New Delhi","North Indian, South Indian, Chinese",2.8,5.200
"MOC - The American Restaurant","New Delhi","American, Fast Food",2.6,5.200
"Muradabadi Chicken Biryani","New Delhi","North Indian",3.3,5.850
"New Aggarwal Sweet Corner","New Delhi",Mithai,2.7,1.300
"Pizza Castle","New Delhi","Pizza, Fast Food",2.7,6.500
"Punjabi Dhaba","New Delhi","North Indian",3,2.600
"Qureshi Chicken Corner","New Delhi","North Indian",3,2.600
"Samarpan Fast Food","New Delhi",Chinese,2.9,3.900
Shaan-E-Tandoorz,"New Delhi","North Indian",2.9,5.200
"Sonu Sudh Bhojnalaya","New Delhi","North Indian",2.8,3.250
"The Test","New Delhi","North Indian",2.9,6.500
"True Blue","New Delhi","Chinese, North Indian",3.3,11.700
"Zaika Kathi Rolls","New Delhi","Fast Food",3,1.950
"Baked Buns","New Delhi","Fast Food",3.5,6.500
"A One Muradabadi","New Delhi","North Indian",0,3.900
Annapurna,"New Delhi","North Indian",0,1.300
"Cake Walkers","New Delhi",Bakery,0,2.600
"Harish And Sonu Sudh Bhojnalya","New Delhi","North Indian",0,3.900
"Mitra Da Dhaba","New Delhi","North Indian, Chinese",0,2.600
"Munchies Midnight Delivery","New Delhi","Continental, Italian, Fast Food",0,3.900
"Muradabadi Chicken Corner","New Delhi",Mughlai,0,6.500
"Riyaz Chicken Corner","New Delhi",Biryani,0,3.900
"Romano's Pizza","New Delhi",Pizza,0,3.900
"Royal Spice","New Delhi","Continental, North Indian, South Indian",0,6.500
"Sonu Bhojanalya","New Delhi","North Indian",0,3.250
"The Deshi Bites","New Delhi","North Indian",0,6.500
"Green Chick Chop","New Delhi","Raw Meats, North Indian, Fast Food",3,4.550
"Mahara Hotel","New Delhi","North Indian, South Indian",2.9,5.200
"Malik Vegetarian Rasoi","New Delhi","North Indian",2.9,3.250
"Yash Aadi Food Corner","New Delhi","North Indian, Chinese",2.9,5.200
#hashtag,"New Delhi",Cafe,0,6.500
"Al Zaika","New Delhi",Mughlai,0,3.900
"Ashiyan Foods","New Delhi","North Indian, Chinese, Continental",0,9.100
"Bake My Day","New Delhi","Bakery, Desserts, Fast Food",0,3.250
"Bhutani Chaap","New Delhi","North Indian, Fast Food",0,3.250
"China Pan","New Delhi","Chinese, Fast Food",0,2.600
"Chinese Fast Food","New Delhi","Chinese, Fast Food",0,2.600
"Dilkhush Punjabi Dhaba","New Delhi","North Indian",0,6.500
"Dragun Hut","New Delhi",Chinese,0,5.200
Giani's,"New Delhi","Ice Cream, Desserts",0,5.200
"Kathi House","New Delhi","Fast Food",0,2.600
"Kerala Kitchen & Restaurant","New Delhi","South Indian",0,3.250
"Retro Kichen","New Delhi","Chinese, North Indian",0,3.900
"The China Town","New Delhi",Chinese,0,3.250
"The Urban Dhaba","New Delhi","North Indian",0,7.800
"Twenty Four Seven","New Delhi","Fast Food, North Indian",0,3.900
McDonald's,"New Delhi","Fast Food, Burger",3.4,6.500
"Moti Mahal Delux Tandoori Trail","New Delhi","North Indian, Mughlai, Chinese",3.2,13.000
"Pizza Hut","New Delhi","Italian, Pizza, Fast Food",2.8,13.000
"Dill's Chawla Chik-Inn","New Delhi","North Indian, Mughlai",2.9,9.100
"Tandoori Zaaika","New Delhi","North Indian",3,6.500
"Aap Ki Khatir","New Delhi","Mughlai, North Indian",0,5.200
"Aggarwal Sweets","New Delhi","Mithai, South Indian, Street Food",0,3.250
"Baskin Robbins","New Delhi","Ice Cream",0,3.900
"Bikaner Sweets","New Delhi","Mithai, North Indian, South Indian, Chinese, Street Food, Bakery",0,5.200
"Bollywood Khana","New Delhi","North Indian, Fast Food",0,1.950
"Cake And Bakes","New Delhi",Bakery,0,2.600
"Cake Point","New Delhi","Bakery, Desserts",0,7.800
"Chinese Corner","New Delhi",Chinese,0,1.950
"Choudhary Dhaba","New Delhi","North Indian",0,4.550
"Green Chick Chop","New Delhi","Raw Meats, North Indian, Fast Food",0,4.550
"Green Chick Chop","New Delhi","Raw Meats, North Indian, Fast Food",0,4.550
"Gujjar Dhaba","New Delhi","Mughlai, North Indian",0,2.600
"Hotel Aditi","New Delhi","North Indian",0,2.600
"JMD Food Palace","New Delhi","North Indian",0,6.500
"Kitchen Namaste","New Delhi","North Indian, Chinese",0,2.600
"Lajawab Chicken & Fish Fry","New Delhi",Mughlai,0,4.550
"Lotus Kitchen","New Delhi","North Indian",0,1.300
"Manami Japanese Restaurant","New Delhi",Japanese,0,13.000
"Manna Sweets & Restaurant","New Delhi","Mithai, Bakery, North Indian",0,2.600
"Moets Curry Pot","New Delhi","North Indian, Chinese, Italian",0,15.600
"Mr. Sub","New Delhi","Fast Food",0,5.200
"New Gaurav Dhaba","New Delhi","North Indian",0,3.250
"Pandit Ji Ki Apni Rasoi","New Delhi","North Indian",0,3.250
"Rajdhani Restaurant","New Delhi","North Indian",0,2.600
"Saraswati Food Corner","New Delhi","Chinese, North Indian, South Indian",0,3.250
"Shri Balaji Bhojnalaya","New Delhi","North Indian",0,3.250
"Swadist Bhojnalaya","New Delhi","Chinese, North Indian",0,2.600
"Swiss Gourmessa","New Delhi",Bakery,0,6.500
"Truly Yours","New Delhi","North Indian, Street Food, Fast Food",0,2.600
"Uttrakhand Hotel","New Delhi","North Indian",0,2.600
"Vandana Food Corner","New Delhi","Fast Food, North Indian, South Indian",0,1.950
"Zaika Biryani","New Delhi","Mughlai, North Indian",0,4.550
Buzz,"New Delhi","North Indian, Chinese, Italian, Finger Food",3.4,26.000
"Lighthouse 13","New Delhi","North Indian, European, Chinese",3.4,27.300
Berco's,"New Delhi","Chinese, Thai",3.8,14.300
"The Great Kabab Factory","New Delhi","North Indian, Mughlai",3.5,28.600
"The Tea Place by Manjushree","New Delhi","Cafe, Beverages",4.1,9.100
Victoria,"New Delhi","North Indian, Chinese",3.2,15.600
"Aces - The Card Room","New Delhi","Finger Food",0,26.000
"Curzon - The Royal Bar","New Delhi","Finger Food",0,13.000
"London Eye - The Open Lounge","New Delhi","Finger Food",0,26.000
"Lord's - The Sports Lounge","New Delhi","Finger Food",0,26.000
"Viceroy - The Coffee Shop","New Delhi",Cafe,0,13.000
"Munch Nation","New Delhi","Chinese, Fast Food",3.8,4.550
"34, Chowringhee Lane","New Delhi","Fast Food",3.2,3.250
"Any Time Food","New Delhi","Fast Food, Beverages",2.6,5.200
"Bikaner Sweet House","New Delhi",Mithai,3.2,2.600
"Domino's Pizza","New Delhi","Pizza, Fast Food",2.8,9.100
Giani,"New Delhi","Ice Cream, Desserts",2.9,5.200
"Grand Plaza","New Delhi","North Indian, Chinese, Fast Food",3.3,10.400
"Great Wall","New Delhi","North Indian, Mughlai, Chinese",2.7,15.600
"Healthy Food Station","New Delhi","Salad, Healthy Food, Burger, Italian, Continental, Chinese, North Indian, Beverages",3.1,5.200
"Hostess Tasty Bites","New Delhi",Chinese,3.1,6.500
"Hot Pot","New Delhi",Chinese,3.1,6.500
"Kabab Factory","New Delhi","North Indian, Mughlai, Chinese",3,9.100
Keventers,"New Delhi",Beverages,3.1,5.200
"Krishna Sweet House","New Delhi","Mithai, South Indian",3.3,2.600
Mitraz,"New Delhi","North Indian, Chinese",3.4,11.050
"Nut Khut Chaats & Snacks","New Delhi","Fast Food, Street Food",3.2,3.900
Subway,"New Delhi","American, Fast Food, Salad, Healthy Food",3.4,6.500
"The Host","New Delhi",Chinese,2.7,5.850
"Chacha Di Hatti","New Delhi","Street Food",3.7,1.300
Cocoberry,"New Delhi",Desserts,3.5,3.900
"Eating Corner","New Delhi","North Indian, Fast Food, Street Food",3.7,3.900
"El Posto","New Delhi",Bakery,3.5,3.900
McDonald's,"New Delhi","Fast Food, Burger",3.6,6.500
"Pizza Station","New Delhi",Pizza,3.5,3.900
"Puri Bakers","New Delhi","Bakery, Fast Food",3.7,3.900
"JAIL - Behind The Bar","New Delhi","North Indian, Chinese, Continental, Italian",4.1,20.800
"Curry Shurry","New Delhi","North Indian, Mughlai",3.3,7.800
Frontier,"New Delhi",Bakery,3.2,2.600
"Hari Om Bhojnalaya","New Delhi","North Indian",3.2,5.200
Nirmal's,"New Delhi",Chinese,2.7,5.200
"Sardar A Pure Meat Shop","New Delhi","Raw Meats, Fast Food, North Indian",2.8,1.950
"The Dragon Hucks","New Delhi",Chinese,3.3,10.400
"Green Chick Chop","New Delhi","Raw Meats, North Indian, Fast Food",3.5,4.550
"New Arjun Bombay Pav Bhaji","New Delhi","Street Food",3.8,3.250
"Sweeter Delight","New Delhi",Bakery,0,3.900
Madaari,"New Delhi","North Indian, Chinese, Continental, Italian",4.3,15.600
"Amritsari Express","New Delhi","North Indian",3.4,5.200
Barista,"New Delhi",Cafe,3.1,8.450
"Baskin Robbins","New Delhi","Ice Cream",3.1,3.900
"Bikano's Chat Cafe","New Delhi","Street Food, South Indian, Chinese",2.7,6.500
"Burger Singh","New Delhi","Burger, Fast Food",3.3,6.500
"Cafe Grub","New Delhi","Chinese, Fast Food",3.2,3.900
"Chicago Pizza","New Delhi",Pizza,2.9,10.400
Cocoberry,"New Delhi",Desserts,3.1,3.900
"Dosa Plaza","New Delhi","South Indian",3.2,5.200
Karim's,"New Delhi","North Indian, Mughlai",3.3,9.100
"Kebab Xpress","New Delhi","North Indian, Mughlai",3.2,7.800
Keventers,"New Delhi",Beverages,3.3,5.200
KFC,"New Delhi","American, Fast Food",2.6,6.500
"Paranthas 21","New Delhi","North Indian, Street Food",3.3,4.550
Subway,"New Delhi","American, Fast Food, Salad, Healthy Food",2.6,6.500
"Wow! Momo","New Delhi","Tibetan, Chinese",3.2,4.550
Berco's,"New Delhi","Chinese, Thai",3.5,14.300
"Dunkin' Donuts","New Delhi","Burger, Desserts, Fast Food",3.5,7.800
Giani's,"New Delhi","Ice Cream, Desserts",3.5,5.200
"The Beer Cafe","New Delhi","Finger Food, North Indian",3.8,15.600
"Basil Tree","New Delhi","North Indian, Italian, Chinese",2.4,13.000
Chaayos,"New Delhi","Cafe, Tea",4.1,5.200
"QD's Restaurant","New Delhi","Chinese, North Indian, Fast Food, Italian",4.1,10.400
"Ada e Handi Restaurant","New Delhi","Mughlai, North Indian, Chinese",2.6,9.100
"Darjeeling Momos","New Delhi","Chinese, Fast Food",2.9,3.250
Ingredients,"New Delhi","North Indian",3.3,9.750
"Al Quresh","New Delhi","North Indian, Mughlai",3.6,7.800
